Reports,No Finding,Enlarged Cardiomediastinum,Cardiomegaly,Lung Lesion,Lung Opacity,Edema,Consolidation,Pneumonia,Atelectasis,Pneumothorax,Pleural Effusion,Pleural Other,Fracture,Support Devices
a few patchy consolidative or ground-glass opacities in the right lung .,,,,,1,,-1,,,,,,,
a few patchy left basilar opacities .,,,,,1,,,,,,,,,
"a few patchy opacities in the left mid lung zone , maybe due to ground-glass opacities , consolidation , or nodule .",,,,-1,1,,-1,,,,,,,
a few possible hazy bibasilar opacities .,,,,,-1,,,,,,,,,
a few surgical clips project over the subaortic window .,1,,,,,,,,,,,,,
a fixation plate is present in proximal right humerus .,1,,,,,,,,,,,,,1
a fluid level is present in the basal right pleural space .,1,,,,,,,,,,,,,
a focus of subsegmental atelectasis is present adjacent to the right minor fissure .,,,,,,,,,1,,,,,
a focus subsegmental atelectasis is present in the left lower lung .,,,,,,,,,1,,,,,
a gastric and feeding tubes traverses the esophagus to the stomach .,1,,,,,,,,,,,,,1
a gastric tube is adequately positioned .,1,,,,,,,,,,,,,1
a gastric tube is in the stomach .,1,,,,,,,,,,,,,1
a gastric tube is in the upper stomach .,1,,,,,,,,,,,,,1
a gastric tube is located in the stomach .,1,,,,,,,,,,,,,1
a gastric tube terminates in the gastric fundus .,1,,,,,,,,,,,,,1
a gastric tube terminates in the upper gastric body .,1,,,,,,,,,,,,,1
a gastric tube terminates in the upper stomach .,1,,,,,,,,,,,,,1
a gastric tube traverses the esophagus and terminates in the upper stomach .,1,,,,,,,,,,,,,1
a gastric tube traverses the esophagus into the stomach .,1,,,,,,,,,,,,,1
a gastric tube traverses the esophagus to the stomach .,1,,,,,,,,,,,,,1
a gastric tube traverses the esophagus towards the stomach .,1,,,,,,,,,,,,,1
a healed fracture is present in the posterior-lateral right seventh rib .,,,,,,,,,,,,,1,
a healed fracture is present in the right fourth rib .,,,,,,,,,,,,,1,
a large esophageal hiatus hernia is present .,,,,,,,,,,,,,,
a large right pleural effusion is present .,,,,,,,,,,,1,,,
a larger opacity is likely present in the superior segment of left lower lobe .,,,,,1,,,,,,,,,
a layering small right basilar pleural effusion .,,,,,,,,,,,1,,,
a lead is present in the right atrial appendage .,1,,,,,,,,,,,,,
a left apically directed thoracostomy tube .,1,,,,,,,,,,,,,1
a left chest tube .,1,,,,,,,,,,,,,1
a left chest tube is present .,1,,,,,,,,,,,,,1
a left pectoral pacemaker device is present .,1,,,,,,,,,,,,,1
a left pectoral pacemaker with lead tip the right atrial appendage and right ventricle .,1,,,,,,,,,,,,,1
a left pectoral signal generator is present with intact vagal stimulating leads .,1,,,,,,,,,,,,,
a left pleural effusion with apical and lateral extension .,,,,,,,,,,,1,,,
a left pleural fluid is questionably present .,,,,,,,,,,,1,,,
a left pleural space drainage tube is present .,1,,,,,,,,,,,,,1
a mechanical aortic valve device is present .,1,,,,,,,,,,,,,1
a mechanical aortic valve is present .,1,,,,,,,,,,,,,1
a mitral valve annuloplasty device is present .,1,,,,,,,,,,,,,1
a moderate amount of left pleural fluid is present .,,,,,,,,,,,1,,,
a moderate amount of right basal pleural fluid is present .,,,,,,,,,,,1,,,
a moderate amount of right pleural fluid is present .,,,,,,,,,,,1,,,
a moderate size hiatal hernia is present .,,,,,,,,,,,,,,
a moderate-sized right pleural effusion is present .,,,,,,,,,,,1,,,
a nasogastric tube is curled in the gastroesophageal junction .,1,,,,,,,,,,,,,1
a nodular opacity is present in the basal left hemithorax .,,,,1,1,,,,,,,,,
"a nodular opacity is questionably present , projecting over the right anterior-lateral fourth rib .",,,,1,1,,,,,,,,,
"a nodular opacity is questionably present in the left lung apex , possibly associated with cavitation .",,,,1,1,,,,,,,,,
a nodular opacity projects between the right anterior fourth and fifth ribs .,,,,1,1,,,,,,,,,
a nodular opacity projects over the left anterior fourth / fifth ribs .,,,,1,1,,,,,,,,,
a nodular opacity projects over the right anterior sixth rib .,,,,1,1,,,,,,,,,
"a non-connected pacemaker lead is present on the left side , possibly in a persistent left superior vena cava .",1,,,,,,,,,,,,,1
a pacemaker lead is located in the right ventricle .,1,,,,,,,,,,,,,1
a peripheral hazy parenchymal opacity within the left mid lung .,,,,,1,,,,,,,,,
a pleural drainage catheter is present in the lateral-basal right hemothorax .,1,,,,,,,,,,,,,1
a pleural plaque is questionably present in the right hemithorax .,,,,,,,,,,,,,,
a prosthetic aortic valve device is present .,1,,,,,,,,,,,,,1
a prosthetic cardiac valve is present .,1,,,,,,,,,,,,,1
"a questionable abnormal left suprahilar mediastinal contour is present , and this may represent mediastinal fluid .",,-1,,,,,,,,,,,,
"a right pectoral pacemaker device is present , with intact leads in the right atrial appendage and right ventricle .",1,,,,,,,,,,,,,1
a right picc is present .,1,,,,,,,,,,,,,1
a right pleural effusion is present .,,,,,,,,,,,1,,,
a right pleural space drainage tube is present .,1,,,,,,,,,,,,,1
a right subclavian vein catheter is properly positioned .,1,,,,,,,,,,,,,1
a rounded opacity is present in the left upper lobe .,,,,,1,,,,,,,,,
"a second nodular opacity is questionably present in the apical right hemithorax , projecting over the posterior arch of the right rib .",,,,1,1,,,,,,,,,
"a slight rightward deviation of the trachea is present above the thoracic inlet , consistent with a goiter .",1,,,,,,,,,,,,,
a slightly larger right pleural effusion is present .,,,,,,,,,,,1,,,
a small amount of fluid is present in superior left major fissure .,,,,,,,,,,,,,,
a small amount of gas underneath the right hemidiaphragm noted .,1,,,,,,,,,,,,,
a small amount of left basal pleural fluid is likely present .,,,,,,,,,,,1,,,
a small amount of left basal pleural fluid is questionably present .,,,,,,,,,,,1,,,
a small amount of left pleural fluid is likely present .,,,,,,,,,,,1,,,
a small amount of pleural air is likely present in the lateral-basal right hemithorax .,1,,,,,,,,,,,,,
a small amount of pleural fluid and / or thickening is likely present in the basal left hemithorax .,,,,,,,,,,,1,,,
a small amount of pleural fluid and / or thickening is present in the basal left hemithorax .,,,,,,,,,,,1,,,
small amount of pleural fluid is present in the basal left hemithorax,,,,,,,,,,,1,,,
a small amount of right pleural fluid is questionably present,,,,,,,,,,,1,,,
a small amount of pleural fluid and air are present in the apical right hemithorax .,,,,,,,,,,,1,,,
a small amount of pleural fluid is present in the apical-lateral right hemithorax .,,,,,,,,,,,1,,,
a small amount of pleural fluid is present in the basal left hemithorax,,,,,,,,,,,1,,,
a small amount of pleural fluid is questionably present in the basal left pleural space .,,,,,,,,,,,1,,,
a small amount of pleural fluid with thickening is present in the apical right hemithorax .,,,,,,,,,,,1,,,
a small amount of pleural or extrapleural fluid is likely present in apical left hemithorax .,,,,,,,,,,,-1,,,
a small amount of right apical pleural fluid is present .,,,,,,,,,,,1,,,
a small amount of right basal pleural fluid is likely present .,,,,,,,,,,,1,,,
a small amount of right basal pleural fluid is present .,,,,,,,,,,,1,,,
a small amount of right basal pleural fluid is questionably present .,,,,,,,,,,,1,,,
a small amount of right pleural fluid is present .,,,,,,,,,,,1,,,
a small amount of right pleural fluid is present in the basal and apical hemithoraces on the right side .,,,,,,,,,,,1,,,
a small focus of consolidation with left thoracostomy tube .,,,,,,,1,,,,,,,1
a small left apical pneumothorax .,,,,,,,,,,1,,,,
a small left apical pneumothorax is likely present .,,,,,,,,,,1,,,,
a small left apical pneumothorax is possibly present .,,,,,,,,,,1,,,,
a small left pleural effusion .,,,,,,,,,,,1,,,
a small left pleural effusion is possibly present .,,,,,,,,,,,1,,,
a small left pleural effusion is present .,,,,,,,,,,,1,,,
a small left pleural effusion is questionably present .,,,,,,,,,,,1,,,
a small nodular focus of consolidation is seen in the left mid lung .,,,,,,,1,,,,,,,
a small nodular is questionably present in right upper lobe .,1,,,,,,,,,,,,,
a small nodular opacity is possibly present in the peripheral and lower right lung near the lateral costophrenic sulcus .,,,,1,1,,,,,,,,,
a small nodular opacity is present in the peripheral and lower right lung .,,,,1,1,,,,,,,,,
"a small nodule may be present in the apical left lung , projecting between the left fourth and fifth ribs .",,,,-1,,,,,,,,,,
a small pneumothorax is likely present in the basal left hemithorax .,,,,,,,,,,1,,,,
a small right apical pneumothorax is present .,,,,,,,,,,1,,,,
a small right basal pleural effusion is likely present .,,,,,,,,,,,1,,,
a small right basal pleural effusion is possibly present .,,,,,,,,,,,1,,,
a small right pleural effusion .,,,,,,,,,,,1,,,
a small right pleural effusion is likely present .,,,,,,,,,,,1,,,
a small right pleural effusion is possibly present .,,,,,,,,,,,1,,,
a small right pleural effusion is present .,,,,,,,,,,,1,,,
a small right pleural effusion is questionably present .,,,,,,,,,,,1,,,
a small right pneumothorax is present .,,,,,,,,,,1,,,,
a small-moderate left pleural effusion .,,,,,,,,,,,1,,,
a subcentimeter calcified granuloma is likely present in the mid left lung .,,,,,,,,,,,,,,
a subcentimeter calcified granuloma is likely present in the right upper lobe .,,,,,,,,,,,,,,
a subsegmental-size opacity is present in the peripheral and lower right hemithorax .,,,,,1,,,,,,,,,
a subset appears nodular .,1,,,,,,,,,,,,,
a substantial portion of the stomach is located within an esophageal hiatus hernia .,,,,,,,,,,,,,,
a surgical device projects over right hemithorax .,1,,,,,,,,,,,,,1
a surgical drain may be present in right upper quadrant of the abdomen .,1,,,,,,,,,,,,,-1
a tricuspid annuloplasty device is present .,1,,,,,,,,,,,,,1
a very small amount of left pleural air is likely present in the left perihilar region .,1,,,,,,,,,,,,,
a very small amount of pleural air is present in the apical right pleural space .,1,,,,,,,,,,,,,
a very small amount of pleural air is present lateral to the right upper lobe .,1,,,,,,,,,,,,,
a very small amount of pleural fluid is present in right major fissure .,,,,,,,,,,,1,,,
a very small left apical pneumothorax is present .,,,,,,,,,,1,,,,
abnormal configuration of the ribs .,1,,,,,,,,,,,,,
"abnormal convex curvature of the right mediastinum , maybe due to a pericardial cyst or lymphadenopathy .",,1,,,,,,,,,,,,
"abnormal opacity in the basal right hemithorax is likely a combination of right pleural fluid , atelectatic or consolidated lung .",,,,,1,,-1,,-1,,1,,,
abnormal opacity in the basilar right hemithorax is likely atelectasis involving the right lower and middle lobes .,,,,,1,,,,1,,,,,
abnormal opacity is questionably present in the upper and medial right upper lobe .,,,,,1,,,,,,,,,
abnormal superior mediastinal widening .,1,,,,,,,,,,,,,
abnormally wide superior mediastinal contour .,,1,,,,,,,,,,,,
abrupt cut off of the bronchus intermedius and opacity of the right lung base which may represent consolidation or atelectasis .,,,,,1,,-1,,-1,,,,,
accessed left port catheter tip projects over the lower svc .,1,,,,,,,,,,,,,1
accessed right port catheter tip projects over the superior cavoatrial junction .,1,,,,,,,,,,,,,1
acute appearing right rib fractures .,,,,,,,,,,,,,1,
acute displaced fractures of the posterolateral left second-third ribs .,,,,,,,,,,,,,1,
acute displaced right lower rib fracture .,,,,,,,,,,,,,1,
acute fracture of a lateral right mid rib .,,,,,,,,,,,,,1,
acute fractures are present in the posterior lateral right and sixth ribs .,,,,,,,,,,,,,1,
acute left upper rib cage fractures are present .,,,,,,,,,,,,,1,
acute left upper rib fractures .,,,,,,,,,,,,,1,
acute rib fractures involve the posterior-lateral portions of the left fifth through seventh ribs .,,,,,,,,,,,,,1,
acute right lateral rib fracture .,,,,,,,,,,,,,1,
"additional dense nodular opacity projecting over the left lung , also likely represents calcified granuloma .",,,,1,1,,,,,,,,,
"additionally , cholecystectomy clips are present .",1,,,,,,,,,,,,,
"additionally , there are a few nodular opacities in the periphery of the right upper lung .",,,,1,1,,,,,,,,,
"additionally , there are comminuted fractures of the right scapula and right clavicle .",,,,,,,,,,,,,1,
"additionally , there are multifocal bilateral ground-glass opacities .",,,,,1,,,,,,,,,
"additionally , there is soft tissue emphysema at left chest wall and inferior neck .",,,,,,,,,,,,,,
"additionally , there is vascular stents projecting over the left axilla .",1,,,,,,,,,,,,,
additionally there are a few fine linear opacities .,,,,,1,,,,,,,,,
additionally there is a displaced left clavicular fracture .,,,,,,,,,,,,,1,
additionally there is a second left thoracostomy tube with side port projecting over the left lower ribs .,1,,,,,,,,,,,,,1
additionally there is peribronchial thickening .,,,,,1,,,,,,,,,
adjacent ground-glass opacities or consolidation .,,,,,-1,,-1,,,,,,,
adjacent linear parenchymal opacities may represent areas of atelectasis or scarring .,,,,,1,,,,-1,,,,,
"adult sternotomy wires , some of which are fractured , are also present .",,,,,,,,,,,,,1,
age indeterminate right fourth rib fracture .,,,,,,,,,,,,,1,
air and fluid are present in the left hemithorax .,1,,,,,,,,,,,,,
air presumably within the gastric bubble projects over the left lower hemithorax .,1,,,,,,,,,,,,,
air-filled loops of bowel in the left upper quadrant of the abdomen .,1,,,,,,,,,,,,,
airspace opacities in the left lung consistent with pulmonary edema or infection .,,,,,1,-1,,-1,,,,,,
airway wall thickening .,,,,,1,,,,,,,,,
airway wall thickening is present within the medial lung bases .,,,,,1,,,,,,,,,
airway wall thickening versus pulmonary edema .,,,,,-1,-1,,,,,,,,
airway wall thickening with patchy nodules versus multifocal mucus plugging .,,,,-1,1,,,,,,,,,
an acute displaced fracture involves a lower left rib .,,,,,,,,,,,,,1,
an acute fracture involves the posterior arches of the right fourth and fifth ribs .,,,,,,,,,,,,,1,
an additional acute fracture involves the lateral portion of the right sixth rib in two places .,,,,,,,,,,,,,1,
an additional device may be present in relation to the heart basal left hemithorax .,,,1,,,,,,,,,,,-1
an aortic valve device is present .,1,,,,,,,,,,,,,1
an endotracheal tube is properly positioned .,1,,,,,,,,,,,,,1
an enteral tube is in the stomach .,1,,,,,,,,,,,,,1
an esophageal hiatus hernia is present .,,,,,,,,,,,,,,
an intact fusion device is present in the lower cervical spine .,1,,,,,,,,,,,,,1
an intact fusion plate is present in the lower cervical spine .,1,,,,,,,,,,,,,1
an ng tube is in the stomach .,1,,,,,,,,,,,,,1
and likely left pleural calcifications well .,,,,,,,,,,,,,,
aorta is elongated .,1,,,,,,,,,,,,,
aortic and mitral valve prostheses .,1,,,,,,,,,,,,,1
aortic and tricuspid valve devices are present .,1,,,,,,,,,,,,,1
aortic and tricuspid valvular prosthetic devices .,1,,,,,,,,,,,,,1
aortic knob calcification .,,,,,,,,,,,,,,
aortic knob is enlarged .,1,,,,,,,,,,,,,
aortic knob is mildly enlarged .,1,,,,,,,,,,,,,
aortic knob is prominent .,,,,,,,,,,,,,,
aortic knob probably enlarged .,1,,,,,,,,,,,,,
aortic stent projects over the aortic arch and descending thoracic aorta .,1,,,,,,,,,,,,,
aortic valve prosthesis .,1,,,,,,,,,,,,,1
aortic valve prosthesis is present .,1,,,,,,,,,,,,,1
aortic valvular prosthetic device .,1,,,,,,,,,,,,,1
apex right curvature of the thoracic spine .,1,,,,,,,,,,,,,
apparatus acceptable .,1,,,,,,,,,,,,,1
apparent haziness in the lower lungs bilaterally likely represents overlying soft tissue although there is also likely mild atelectasis .,,,,,,,,,1,,,,,
ascending aorta is mildly tortuous .,1,,,,,,,,,,,,,
ascending thoracic aorta is enlarged .,1,,,,,,,,,,,,,
"asymmetric hazy opacity overlying the left hemithorax , maybe due to effusion with atelectasis .",,,,,1,,,,1,,1,,,
asymmetric low volume of the left lung .,1,,,,,,,,,,,,,
asymmetric lucency of the left hemithorax .,1,,,,,,,,,,,,,
asymmetrically small left lung .,1,,,,,,,,,,,,,
atelectasis .,,,,,,,,,1,,,,,
atelectasis versus edema or ground-glass opacities in the left lung .,,,,,1,-1,,,-1,,,,,
atelectasis versus ground-glass opacities or consolidation in the left lung .,,,,,-1,,-1,,-1,,,,,
"atheromatous calcification of the aortic arch , otherwise normal cardiomediastinal silhouette .",,0,,,,,,,,,,,,
"atheromatous calcification of the aortic arch , otherwise the cardiomediastinal silhouette is within normal for technique .",1,0,,,,,,,,,,,,
"atheromatous calcification of the aortic arch , otherwise visualized portions of the cardiomediastinal silhouette are normal .",1,0,,,,,,,,,,,,
atheromatous calcification of the aortic arch .,,,,,,,,,,,,,,
"atheromatous calcification of the aortic arch and descending thoracic aorta , otherwise cardiomediastinal silhouette is within normal for technique .",1,0,,,,,,,,,,,,
"atheromatous calcification of the thoracic aorta , otherwise normal cardiomediastinal silhouette .",,0,,,,,,,,,,,,
atheromatous calcification of the thoracic aorta .,,,,,,,,,,,,,,
atheromatous calcifications of the aortic arch .,,,,,,,,,,,,,,
atheromatous calcifications of the thoracic aorta .,,,,,,,,,,,,,,
atheromatous calcifications of the upper abdominal arteries .,,,,,,,,,,,,,,
atheromatous calcifications project over at the aortic arch .,,,,,,,,,,,,,,
"atheromatous plaque of the aortic arch , otherwise normal cardiomediastinal silhouette .",,0,,,,,,,,,,,,
azygos vein is distended .,1,,,,,,,,,,,,,
azygos vein may be distended .,1,,,,,,,,,,,,,
band-like atelectasis in the mid left lung .,,,,,,,,,1,,,,,
"band-like opacities in the left lung , probable subsegmental atelectasis .",,,,,1,,,,-1,,,,,
band-like opacities in the left lung likely represent regions of multisegmental atelectasis .,,,,,1,,,,1,,,,,
"band-like opacities in the right lung , probable subsegmental atelectasis .",,,,,1,,,,-1,,,,,
band-like opacities in the right upper and lower lungs are compatible with foci subsegmental atelectasis or scarring .,,,,,1,,,,1,,,,,
"band-like opacities projecting over the right mid lung and within the left lower lung may represent areas of atelectasis , or aspiration .",,,,,1,,,,-1,,,,,
band-like opacity in the left lower lung may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
"band-like opacity in the right lung base with adjacent basilar lucency may represent atelectasis , cannot exclude pneumoperitoneum .",,,,,1,,,,-1,,,,,
band-like subsegmental atelectasis in the right lower lobe .,,,,,,,,,1,,,,,
basal pleural effusions are questionably present .,,,,,,,,,,,1,,,
basal pleural fluid is very likely present .,,,,,,,,,,,1,,,
basal predominant patchy opacities may represent ground-glass opacity or atelectasis .,,,,,1,,,,-1,,,,,
basilar and peripheral predominant reticular opacities are favored to represent areas of pulmonary fibrosis .,,,,,1,,,,,,,1,,
basilar atelectasis .,,,,,,,,,1,,,,,
basilar atelectasis versus consolidation .,,,,,,,-1,,-1,,,,,
basilar atelectasis versus ground-glass opacities / consolidation .,,,,,1,,1,,-1,,,,,
basilar bilateral consolidative opacities .,,,,,1,,1,,,,,,,
basilar hazy opacities likely represent areas of subsegmental atelectasis .,,,,,1,,,,1,,,,,
basilar hazy parenchymal opacities may represent atelectasis or ground-glass opacity .,,,,,1,,,,-1,,,,,
basilar likely atelectasis noted .,,,,,,,,,1,,,,,
basilar parenchymal opacities may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
basilar predominant consolidation noted .,,,,,,,1,,,,,,,
basilar predominant irregular opacities may represent areas of fibrosis or consolidation .,,,,,1,,-1,,,,,-1,,
"basilar predominant opacities may represent aspiration , edema , or consolidation .",,,,,1,-1,-1,,,,,,,
basilar predominant opacities may represent edema or ground-glass opacities .,,,,,1,-1,,,,,,,,
basilar predominant parenchymal opacities may represent aspiration or consolidation .,,,,,1,,-1,,,,,,,
basilar predominant patchy bilateral parenchymal consolidative opacities .,,,,,1,,1,,,,,,,
basilar predominant patchy parenchymal opacities may represent edema or consolidation .,,,,,1,-1,-1,,,,,,,
there are patchy parenchymal opacities in the lower lungs,,,,,1,-1,-1,,,,,,,
"basilar predominant peribronchial thickening may represent findings of consolidation , aspiration or edema .",,,,,1,-1,-1,,,,,,,
basilar predominant peribronchovascular thickening may represent interstitial edema or ground-glass opacities .,,,,,-1,-1,,,,,,,,
basilar predominant perihilar ground-glass opacity likely represents edema or atelectasis .,,,,,1,-1,,,-1,,,,,
"basilar predominant reticular opacities may represent findings of chronic aspiration , pulmonary fibrosis , or less likely pulmonary edema .",,,,,1,-1,,,,,,-1,,
basilar right pleural effusion with adjacent atelectasis .,,,,,,,,,1,,1,,,
biapical pleural thickening noted .,,,,,,,,,,,,1,,
biapical pleural thickening versus pleural fluid .,,,,,,,,,,,-1,-1,,
bibasilar atelectasis .,,,,,,,,,1,,,,,
bibasilar atelectasis is noted .,,,,,,,,,1,,,,,
bibasilar atelectasis noted .,,,,,,,,,1,,,,,
"bibasilar atelectasis obscuring the cardiac silhouette , superimposed consolidation not excluded .",,,0,,,,-1,,-1,,,,,
bibasilar atelectasis or consolidation .,,,,,,,-1,,1,,,,,
bibasilar atelectasis or consolidation noted .,,,,,,,-1,,1,,,,,
bibasilar atelectasis versus consolidation .,,,,,,,-1,,1,,,,,
bibasilar atelectasis versus ground-glass opacities .,,,,,1,,,,-1,,,,,
bibasilar atelectasis versus ground-glass opacities / consolidation .,,,,,1,,1,,-1,,,,,
"bibasilar consolidation versus multisegmental atelectasis , greater than right .",,,,,,,-1,,-1,,,,,
bibasilar consolidation versus subsegmental atelectasis .,,,,,,,-1,,-1,,,,,
bibasilar ground-glass opacities .,,,,,1,,,,,,,,,
bibasilar ground-glass opacities or consolidation .,,,,,-1,,-1,,,,,,,
bibasilar ground-glass opacities versus atelectasis .,,,,,-1,,,,-1,,,,,
bibasilar hazy opacities likely represent atelectasis .,,,,,1,,,,1,,,,,
bibasilar hazy parenchymal opacities may represent aspiration or atelectasis .,,,,,1,,,,-1,,,,,
bibasilar hazy parenchymal opacities may represent atelectasis or aspiration .,,,,,1,,,,-1,,,,,
bibasilar hazy parenchymal opacities may represent ground-glass opacity or atelectasis .,,,,,1,,,,-1,,,,,
bibasilar layering opacities likely represent pleural fluid and adjacent atelectasis .,,,,,1,,,,1,,1,,,
"bibasilar linear opacities , probable subsegmental atelectasis .",,,,,1,,,,-1,,,,,
bibasilar linear opacities likely represent atelectasis .,,,,,1,,,,1,,,,,
bibasilar linear opacities likely represent subsegmental atelectasis .,,,,,1,,,,1,,,,,
bibasilar opacities could represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
bibasilar opacities could represent superimposed atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
bibasilar opacities likely represent a combination of atelectasis and effusion .,,,,,1,,,,1,,1,,,
bibasilar opacities likely represent a combination of pleural fluid and parenchymal abnormality .,,,,,1,,,,,,1,,,
bibasilar opacities likely represent atelectasis .,,,,,1,,,,1,,,,,
bibasilar opacities likely represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
bibasilar opacities may represent atelectasis .,,,,,1,,,,-1,,,,,
bibasilar opacities may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
bibasilar opacities may represent consolidation or atelectasis .,,,,,1,,-1,,-1,,,,,
bibasilar opacities may represent ground-glass opacities or atelectasis .,,,,,1,,,,-1,,,,,
bibasilar opacities may represent pleural effusion or atelectasis or consolidation .,,,,,1,,-1,,-1,,-1,,,
bibasilar opacities maybe due to atelectasis .,,,,,1,,,,1,,,,,
bibasilar opacities maybe due to atelectasis or edema .,,,,,1,-1,,,-1,,,,,
bibasilar opacities most likely represent atelectasis .,,,,,1,,,,1,,,,,
bibasilar opacities obscure cardiac silhouette .,,,0,,-1,,,,,,,,,
bibasilar opacity could represent ground-glass opacity due to aspiration .,,,,,1,,,,,,,,,
bibasilar opacity may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
"bibasilar parenchymal opacities , right greater than left .",,,,,1,,,,,,,,,
bibasilar parenchymal opacities .,,,,,1,,,,,,,,,
"bibasilar parenchymal opacities and small bilateral pleural effusions , possibly .",,,,,-1,,,,,,1,,,
bibasilar parenchymal opacities likely represent consolidation .,,,,,1,,1,,,,,,,
"bibasilar parenchymal opacities may represent atelectasis , aspiration , or consolidation .",,,,,1,,-1,,-1,,,,,
bibasilar parenchymal opacities may represent atelectasis or consolidation .,,,,,1,,-1,,-1,,,,,
bibasilar parenchymal opacities may represent consolidation or atelectasis .,,,,,1,,-1,,-1,,,,,
bibasilar parenchymal-pleural abnormalities .,1,,,,,,,,,,,,,
bibasilar patchy consolidation .,,,,,,,1,,,,,,,
"bibasilar peribronchial cuffing , probable edema .",,,,,,1,,,,,,,,
bibasilar pleural effusion .,,,,,,,,,,,1,,,
bibasilar pleural effusions .,,,,,,,,,,,1,,,
bibasilar pleural effusions with superimposed atelectasis versus consolidation .,,,,,,,-1,,-1,,1,,,
bibasilar pleural space pigtail drainage catheters .,1,,,,,,,,,,,,,1
bibasilar pleural-parenchymal opacities may represent atelectasis or pleural fluid .,,,,,1,,,,-1,,-1,,,
"bibasilar predominant bilateral parenchymal opacities , likely consolidative .",,,,,1,,1,,,,,,,
bibasilar predominant ground-glass opacities are noted and may represent fibrosis .,,,,,1,,,,,,,-1,,
bibasilar predominant hazy bilateral parenchymal opacities likely represent pulmonary edema and layering small pleural effusions .,,,,,1,1,,,,,1,,,
bibasilar predominant hazy parenchymal opacities .,,,,,1,,,,,,,,,
bibasilar predominant linear and hazy opacities may represent areas of subsegmental atelectasis or ground-glass opacity .,,,,,1,,,,-1,,,,,
bibasilar predominant parenchymal opacities .,,,,,1,,,,,,,,,
bibasilar predominant parenchymal opacities may represent atelectasis or edema .,,,,,1,-1,,,-1,,,,,
bibasilar predominant scattered linear opacities may represent areas of atelectasis or scarring .,,,,,1,,,,-1,,,,,
bibasilar reticular abnormality .,,,,,,,,,,,,,,
bibasilar reticular opacities may represent sequela of chronic aspiration or pulmonary fibrosis .,,,,,1,,,,,,,-1,,
bibasilar small pleural effusions and parenchymal opacities .,,,,,1,,,,,,1,,,
bibasilar subsegmental atelectasis .,,,,,,,,,1,,,,,
bibasilar subsegmental atelectasis versus consolidation .,,,,,,,-1,,-1,,,,,
bibasilar subsegmental atelectasis versus ground-glass opacity .,,,,,-1,,,,-1,,,,,
